"year";"plot";"sp";"lambda"
2017;8;"HOMA";NA
2018;8;"HOMA";NA
2019;8;"HOMA";23,3588770199996
2020;8;"HOMA";85,2557968456103
2021;8;"HOMA";62,7423965711147
2015;9;"HOMA";NA
2016;9;"HOMA";12,4678215050774
2017;9;"HOMA";NA
2018;9;"HOMA";NA
2019;9;"HOMA";23,3588770199996
2020;9;"HOMA";NA
2021;9;"HOMA";62,7423965711147
2015;1;"LEMA";557,618770790185
2016;1;"LEMA";132,024970847359
2017;1;"LEMA";128,598671242857
2018;1;"LEMA";112,819175494863
2019;1;"LEMA";1029,761424531
2020;1;"LEMA";436,466587926305
2021;1;"LEMA";572,748276033497
2015;2;"LEMA";557,618770790185
2016;2;"LEMA";132,024970847359
2017;2;"LEMA";128,598671242857
2018;2;"LEMA";112,819175494863
2019;2;"LEMA";1029,761424531
2020;2;"LEMA";436,466587926305
2021;2;"LEMA";572,748276033497
2015;3;"LEMA";557,618770790185
2016;3;"LEMA";132,024970847359
2017;3;"LEMA";128,598671242857
2018;3;"LEMA";112,819175494863
2019;3;"LEMA";1029,761424531
2020;3;"LEMA";436,466587926305
2021;3;"LEMA";572,748276033497
2015;4;"LEMA";557,618770790185
2016;4;"LEMA";132,024970847359
2017;4;"LEMA";128,598671242857
2018;4;"LEMA";NA
2019;4;"LEMA";1029,761424531
2020;4;"LEMA";436,466587926305
2021;4;"LEMA";572,748276033497
2015;5;"LEMA";557,618770790185
2016;5;"LEMA";132,024970847359
2017;5;"LEMA";128,598671242857
2018;5;"LEMA";NA
2019;5;"LEMA";1029,761424531
2020;5;"LEMA";436,466587926305
2021;5;"LEMA";572,748276033497
2015;6;"LEMA";557,618770790185
2016;6;"LEMA";132,024970847359
2017;6;"LEMA";128,598671242857
2018;6;"LEMA";NA
2019;6;"LEMA";1029,761424531
2020;6;"LEMA";NA
2021;6;"LEMA";572,748276033497
2015;7;"LEMA";NA
2016;7;"LEMA";132,024970847359
2017;7;"LEMA";NA
2018;7;"LEMA";NA
2019;7;"LEMA";1029,761424531
2020;7;"LEMA";436,466587926305
2021;7;"LEMA";572,748276033497
2015;8;"LEMA";NA
2016;8;"LEMA";132,024970847359
2017;8;"LEMA";NA
