"year";"plot";"focal";"neighbour";"magnitude"
2018;7;"CHFU";"BEMA";NA
2019;7;"CHFU";"BEMA";NA
2020;7;"CHFU";"BEMA";-0,0986761555059176
2021;7;"CHFU";"BEMA";-0,00260508630750129
2015;8;"CHFU";"BEMA";NA
2016;8;"CHFU";"BEMA";NA
2017;8;"CHFU";"BEMA";NA
2018;8;"CHFU";"BEMA";NA
2019;8;"CHFU";"BEMA";NA
2020;8;"CHFU";"BEMA";-0,0986761555059176
2021;8;"CHFU";"BEMA";-0,00260508630750129
2015;9;"CHFU";"BEMA";NA
2016;9;"CHFU";"BEMA";NA
2017;9;"CHFU";"BEMA";NA
2018;9;"CHFU";"BEMA";NA
2019;9;"CHFU";"BEMA";NA
2020;9;"CHFU";"BEMA";-0,0986761555059176
2021;9;"CHFU";"BEMA";-0,00260508630750129
2015;1;"CHMI";"BEMA";NA
2016;1;"CHMI";"BEMA";NA
2017;1;"CHMI";"BEMA";NA
2018;1;"CHMI";"BEMA";NA
2019;1;"CHMI";"BEMA";NA
2020;1;"CHMI";"BEMA";-0,00154000300953713
2021;1;"CHMI";"BEMA";NA
2015;2;"CHMI";"BEMA";NA
2016;2;"CHMI";"BEMA";NA
2017;2;"CHMI";"BEMA";NA
2018;2;"CHMI";"BEMA";NA
2019;2;"CHMI";"BEMA";NA
2020;2;"CHMI";"BEMA";NA
2021;2;"CHMI";"BEMA";NA
2015;3;"CHMI";"BEMA";-0,0403253579709302
2016;3;"CHMI";"BEMA";NA
2017;3;"CHMI";"BEMA";-0,0178530579221518
2018;3;"CHMI";"BEMA";NA
2019;3;"CHMI";"BEMA";NA
2020;3;"CHMI";"BEMA";-0,00154000300953713
2021;3;"CHMI";"BEMA";NA
2015;4;"CHMI";"BEMA";NA
2016;4;"CHMI";"BEMA";NA
2017;4;"CHMI";"BEMA";NA
2018;4;"CHMI";"BEMA";NA
2019;4;"CHMI";"BEMA";NA
2020;4;"CHMI";"BEMA";NA
2021;4;"CHMI";"BEMA";NA
2015;5;"CHMI";"BEMA";NA
2016;5;"CHMI";"BEMA";NA
2017;5;"CHMI";"BEMA";NA
2018;5;"CHMI";"BEMA";NA
2019;5;"CHMI";"BEMA";NA
2020;5;"CHMI";"BEMA";NA
2021;5;"CHMI";"BEMA";NA
2015;6;"CHMI";"BEMA";NA
2016;6;"CHMI";"BEMA";NA
2017;6;"CHMI";"BEMA";NA
2018;6;"CHMI";"BEMA";NA
2019;6;"CHMI";"BEMA";NA
2020;6;"CHMI";"BEMA";NA
2021;6;"CHMI";"BEMA";NA
2015;7;"CHMI";"BEMA";NA
2016;7;"CHMI";"BEMA";-0,10263873824351
2017;7;"CHMI";"BEMA";NA
2018;7;"CHMI";"BEMA";NA
2019;7;"CHMI";"BEMA";NA
2020;7;"CHMI";"BEMA";NA
2021;7;"CHMI";"BEMA";0,036428435470474
2015;8;"CHMI";"BEMA";NA
2016;8;"CHMI";"BEMA";-0,10263873824351
2017;8;"CHMI";"BEMA";NA
2018;8;"CHMI";"BEMA";NA
2019;8;"CHMI";"BEMA";NA
2020;8;"CHMI";"BEMA";NA
2021;8;"CHMI";"BEMA";NA
2015;9;"CHMI";"BEMA";NA
2016;9;"CHMI";"BEMA";NA
2017;9;"CHMI";"BEMA";NA
2018;9;"CHMI";"BEMA";NA
2019;9;"CHMI";"BEMA";NA
2020;9;"CHMI";"BEMA";NA
2021;9;"CHMI";"BEMA";NA
2015;1;"HOMA";"BEMA";-0,0450543168953109
2016;1;"HOMA";"BEMA";-0,0935467200953981
2017;1;"HOMA";"BEMA";NA
2018;1;"HOMA";"BEMA";NA
2019;1;"HOMA";"BEMA";NA
2020;1;"HOMA";"BEMA";0,0706911027377386
2021;1;"HOMA";"BEMA";0,0737161906739703
2015;2;"HOMA";"BEMA";-0,0450543168953109
2016;2;"HOMA";"BEMA";-0,0935467200953981
2017;2;"HOMA";"BEMA";NA
2018;2;"HOMA";"BEMA";0,0169211018367267
2019;2;"HOMA";"BEMA";NA
2020;2;"HOMA";"BEMA";0,0706911027377386
2021;2;"HOMA";"BEMA";NA
2015;3;"HOMA";"BEMA";NA
2016;3;"HOMA";"BEMA";-0,0935467200953981
2017;3;"HOMA";"BEMA";NA
2018;3;"HOMA";"BEMA";0,0169211018367267
2019;3;"HOMA";"BEMA";NA
2020;3;"HOMA";"BEMA";0,0706911027377386
2021;3;"HOMA";"BEMA";NA
2015;4;"HOMA";"BEMA";NA
2016;4;"HOMA";"BEMA";-0,0935467200953981
2017;4;"HOMA";"BEMA";NA
2018;4;"HOMA";"BEMA";NA
2019;4;"HOMA";"BEMA";NA
2020;4;"HOMA";"BEMA";0,0706911027377386
2021;4;"HOMA";"BEMA";0,0737161906739703
2015;5;"HOMA";"BEMA";NA
2016;5;"HOMA";"BEMA";-0,0935467200953981
2017;5;"HOMA";"BEMA";NA
2018;5;"HOMA";"BEMA";NA
2019;5;"HOMA";"BEMA";NA
2020;5;"HOMA";"BEMA";0,0706911027377386
2021;5;"HOMA";"BEMA";0,0737161906739703
2015;6;"HOMA";"BEMA";NA
2016;6;"HOMA";"BEMA";-0,0935467200953981
2017;6;"HOMA";"BEMA";NA
2018;6;"HOMA";"BEMA";NA
2019;6;"HOMA";"BEMA";NA
2020;6;"HOMA";"BEMA";NA
2021;6;"HOMA";"BEMA";0,0737161906739703
2015;7;"HOMA";"BEMA";NA
2016;7;"HOMA";"BEMA";-0,0935467200953981
2017;7;"HOMA";"BEMA";NA
2018;7;"HOMA";"BEMA";NA
2019;7;"HOMA";"BEMA";0,000116250410097451
2020;7;"HOMA";"BEMA";0,0706911027377386
2021;7;"HOMA";"BEMA";0,0737161906739703
2015;8;"HOMA";"BEMA";NA
2016;8;"HOMA";"BEMA";-0,0935467200953981
2017;8;"HOMA";"BEMA";NA
2018;8;"HOMA";"BEMA";NA
2019;8;"HOMA";"BEMA";0,000116250410097451
2020;8;"HOMA";"BEMA";0,0706911027377386
2021;8;"HOMA";"BEMA";0,0737161906739703
2015;9;"HOMA";"BEMA";NA
2016;9;"HOMA";"BEMA";-0,0935467200953981
2017;9;"HOMA";"BEMA";NA
2018;9;"HOMA";"BEMA";NA
2019;9;"HOMA";"BEMA";0,000116250410097451
2020;9;"HOMA";"BEMA";NA
2021;9;"HOMA";"BEMA";0,0737161906739703
2015;1;"LEMA";"BEMA";0,00445013194049666
2016;1;"LEMA";"BEMA";-0,0659624016545789
2017;1;"LEMA";"BEMA";NA
2018;1;"LEMA";"BEMA";0,0138131211047812
2019;1;"LEMA";"BEMA";NA
2020;1;"LEMA";"BEMA";0,00731588131881838
2021;1;"LEMA";"BEMA";-0,0299741044498831
2015;2;"LEMA";"BEMA";NA
2016;2;"LEMA";"BEMA";-0,0659624016545789
2017;2;"LEMA";"BEMA";0,023379510981922
2018;2;"LEMA";"BEMA";NA
2019;2;"LEMA";"BEMA";-0,0557671946721918
2020;2;"LEMA";"BEMA";0,00731588131881838
2021;2;"LEMA";"BEMA";-0,0299741044498831
2015;3;"LEMA";"BEMA";0,00445013194049666
2016;3;"LEMA";"BEMA";-0,0659624016545789
2017;3;"LEMA";"BEMA";NA
2018;3;"LEMA";"BEMA";0,0138131211047812
2019;3;"LEMA";"BEMA";NA
2020;3;"LEMA";"BEMA";0,00731588131881838
2021;3;"LEMA";"BEMA";-0,0299741044498831
2015;4;"LEMA";"BEMA";0,00445013194049666
2016;4;"LEMA";"BEMA";-0,0659624016545789
2017;4;"LEMA";"BEMA";NA
2018;4;"LEMA";"BEMA";NA
2019;4;"LEMA";"BEMA";-0,0557671946721918
2020;4;"LEMA";"BEMA";0,00731588131881838
2021;4;"LEMA";"BEMA";-0,0299741044498831
2015;5;"LEMA";"BEMA";0,00445013194049666
2016;5;"LEMA";"BEMA";-0,0659624016545789
2017;5;"LEMA";"BEMA";NA
2018;5;"LEMA";"BEMA";NA
2019;5;"LEMA";"BEMA";-0,0557671946721918
2020;5;"LEMA";"BEMA";0,00731588131881838
2021;5;"LEMA";"BEMA";-0,0299741044498831
2015;6;"LEMA";"BEMA";0,00445013194049666
2016;6;"LEMA";"BEMA";-0,0659624016545789
2017;6;"LEMA";"BEMA";NA
2018;6;"LEMA";"BEMA";NA
2019;6;"LEMA";"BEMA";NA
2020;6;"LEMA";"BEMA";NA
2021;6;"LEMA";"BEMA";-0,0299741044498831
2015;7;"LEMA";"BEMA";NA
2016;7;"LEMA";"BEMA";-0,0659624016545789
2017;7;"LEMA";"BEMA";NA
2018;7;"LEMA";"BEMA";NA
2019;7;"LEMA";"BEMA";-0,0557671946721918
2020;7;"LEMA";"BEMA";0,00731588131881838
2021;7;"LEMA";"BEMA";-0,0299741044498831
2015;8;"LEMA";"BEMA";NA
2016;8;"LEMA";"BEMA";-0,0659624016545789
2017;8;"LEMA";"BEMA";NA
2018;8;"LEMA";"BEMA";NA
2019;8;"LEMA";"BEMA";-0,0557671946721918
2020;8;"LEMA";"BEMA";0,00731588131881838
2021;8;"LEMA";"BEMA";-0,0299741044498831
2015;9;"LEMA";"BEMA";NA
2016;9;"LEMA";"BEMA";-0,0659624016545789
2017;9;"LEMA";"BEMA";NA
2018;9;"LEMA";"BEMA";NA
2019;9;"LEMA";"BEMA";NA
2020;9;"LEMA";"BEMA";0,00731588131881838
2021;9;"LEMA";"BEMA";NA
2015;1;"MEEL";"BEMA";0,159260729958035
2016;1;"MEEL";"BEMA";-0,029758190804269
2017;1;"MEEL";"BEMA";NA
2018;1;"MEEL";"BEMA";NA
2019;1;"MEEL";"BEMA";NA
2020;1;"MEEL";"BEMA";NA
2021;1;"MEEL";"BEMA";NA
2015;2;"MEEL";"BEMA";NA
2016;2;"MEEL";"BEMA";NA
2017;2;"MEEL";"BEMA";NA
2018;2;"MEEL";"BEMA";NA
2019;2;"MEEL";"BEMA";NA
2020;2;"MEEL";"BEMA";NA
2021;2;"MEEL";"BEMA";NA
2015;3;"MEEL";"BEMA";NA
2016;3;"MEEL";"BEMA";NA
2017;3;"MEEL";"BEMA";NA
2018;3;"MEEL";"BEMA";NA
2019;3;"MEEL";"BEMA";NA
2020;3;"MEEL";"BEMA";NA
